City_ID,City_Weather,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
185,185,Krasnoyarskiy,RU,51.965,59.8967,46.13,52,54,7.9,broken clouds
186,186,Plouzane,FR,48.3833,-4.6167,50.05,87,0,8.05,clear sky
187,187,Soma,TR,39.1855,27.6094,56.28,90,13,6.8,few clouds
188,188,Klaksvik,FO,62.2266,-6.589,41.92,68,99,24.34,overcast clouds
189,189,Kahului,US,20.8947,-156.47,87.82,72,40,10.36,scattered clouds
190,190,Pangody,RU,65.85,74.4859,38.48,90,100,13.62,overcast clouds
191,191,Jumla,NP,29.2747,82.1838,49.19,87,8,5.41,clear sky
192,192,Skelleftea,SE,64.7507,20.9528,46.76,100,100,9.22,overcast clouds
193,193,Grevesmuhlen,DE,53.8667,11.1833,50.79,91,38,10.65,scattered clouds
194,194,Carnarvon,AU,-24.8667,113.6333,63.37,61,90,20.56,overcast clouds
195,195,Ilulissat,GL,69.2167,-51.1,26.62,80,75,4.61,broken clouds
196,196,Broome,US,42.2506,-75.833,57.58,65,20,5.75,few clouds
197,197,Haines Junction,CA,60.7522,-137.5108,46.35,57,100,4.61,overcast clouds
198,198,Lucapa,AO,-8.4192,20.7447,67.19,52,8,1.74,clear sky
199,199,Belaya Gora,RU,68.5333,146.4167,18.0,84,57,9.04,broken clouds
200,200,Pithiviers,FR,48.1667,2.25,60.84,79,100,11.18,overcast clouds
201,201,Luwuk,ID,-0.9516,122.7875,77.52,85,100,2.84,overcast clouds
202,202,Narsaq,GL,60.9167,-46.05,35.82,98,100,6.87,light rain
203,203,Grand Gaube,MU,-20.0064,57.6608,72.0,75,28,3.0,scattered clouds
204,204,Mehamn,NO,71.0357,27.8492,40.95,81,20,6.91,few clouds
205,205,Husavik,IS,66.0449,-17.3389,21.02,90,90,14.99,overcast clouds
206,206,Dunedin,NZ,-45.8742,170.5036,48.79,86,99,15.01,overcast clouds
207,207,Saint-Pierre,RE,-21.3393,55.4781,69.48,73,75,5.75,broken clouds
208,208,Kununurra,AU,-15.7667,128.7333,78.78,73,9,3.44,clear sky
209,209,Bolitoc,PH,15.7395,119.8769,79.36,83,84,4.45,broken clouds
210,210,Pallasovka,RU,50.05,46.8833,55.38,59,84,7.52,broken clouds
211,211,Rio Gallegos,AR,-51.6226,-69.2181,57.25,26,20,20.71,few clouds
212,212,Collie,AU,-33.3667,116.15,48.16,80,98,3.94,overcast clouds
213,213,Wahiawa,US,21.5028,-158.0236,83.79,63,100,0.0,overcast clouds
214,214,Norman Wells,CA,65.282,-126.8329,32.04,100,100,32.21,light snow
215,215,La Ronge,CA,55.1001,-105.2842,71.85,26,75,6.91,broken clouds
216,216,Suluq,LY,31.6682,20.2521,68.68,60,25,5.48,scattered clouds
217,217,Sao Filipe,CV,14.8961,-24.4956,78.73,77,56,8.32,broken clouds
218,218,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,87,24,7.85,few clouds
219,219,Buala,SB,-8.145,159.5921,85.48,59,8,2.86,clear sky
220,220,Riyadh,SA,24.6877,46.7219,71.74,16,3,3.91,clear sky
221,221,Hami,CN,42.8,93.45,52.09,30,43,15.55,scattered clouds
222,222,Urzicuta,RO,44.0167,23.55,58.71,52,100,8.75,light rain
223,223,Watrous,CA,51.6668,-105.4679,74.98,25,1,17.27,clear sky
224,224,Clyde River,CA,70.4692,-68.5914,14.23,85,0,13.8,clear sky
225,225,Constitucion,CL,-35.3333,-72.4167,52.23,79,0,10.94,clear sky
226,226,Tall Kayf,TR,37.0833,41.0667,68.63,31,0,4.34,clear sky
227,227,Santa Cruz Verapaz,GT,15.3667,-90.4333,66.96,88,75,0.0,broken clouds
228,228,Mattru,SL,7.6244,-11.8332,73.9,98,41,2.19,scattered clouds
229,229,Novyy Urengoy,RU,66.0833,76.6333,39.34,90,100,14.76,overcast clouds
230,230,Sakakah,SA,29.9697,40.2064,78.37,33,0,7.87,clear sky
231,231,Orlovskiy,RU,46.8714,42.0592,52.72,75,1,16.6,clear sky
232,232,Russell,US,32.3502,-85.1999,78.4,31,0,3.44,clear sky
233,233,Mascote,BR,-15.5631,-39.3025,69.96,92,5,1.68,clear sky
234,234,Katsuura,JP,35.1333,140.3,71.87,57,97,25.34,overcast clouds
235,235,Kodiak,US,57.79,-152.4072,56.71,54,20,13.8,few clouds
236,236,Komsomolskiy,UZ,40.4272,71.7189,50.72,53,0,4.61,clear sky
237,237,Port Blair,IN,11.6667,92.75,77.18,86,100,2.06,overcast clouds
238,238,Dingle,PH,10.9995,122.6711,77.83,88,44,2.66,scattered clouds
